3763 3
831 966 833
708 832 831
582 586 707
586 713 708
832 965 966
707 708 831
708 713 832
170 256 177
467 466 587
716 588 587
458 361 467
831 832 966
580 458 467
714 830 706
459 465 359
460 459 354
581 465 459
588 706 580
586 582 465
706 713 586
580 706 581
588 714 706
708 707 586
839 972 964
840 731 853
973 840 853
179 206 265
182 181 101
268 182 265
267 181 182
99 122 125
101 99 179
101 37 99
268 361 267
382 489 487
293 383 382
266 293 360
265 266 360
265 206 266
206 205 293
383 489 382
360 293 382
381 488 383
715 606 731
839 714 716
587 606 715
460 581 459
355 460 354
355 458 460
466 487 587
360 466 361
360 382 466
361 466 467
716 587 715
840 716 715
588 580 467
714 588 716
706 830 713
840 839 716
713 838 832
581 706 586
830 838 713
587 588 467
487 606 587
458 355 361
355 258 267
361 355 267
458 580 460
709 834 710
710 834 835
707 709 582
709 833 834
583 709 710
707 831 709
172 171 92
36 101 100
180 257 172
258 180 267
257 171 172
354 257 258
256 171 257
353 264 256
354 353 257
355 354 258
459 359 353
359 461 356
354 459 353
465 461 359
1823 1848 1851
1824 1823 1851
1824 1788 1823
1788 1824 1811
1734 1728 1776
1768 1734 1784
1681 1615 1685
1734 1681 1728
1669 1615 1681
1848 1820 1845
1848 1823 1820
1820 1819 1845
1787 1820 1823
1737 1728 1685
1788 1737 1787
1776 1728 1737
1811 1776 1788
1811 1784 1776
1813 1778 1808
1820 1809 1819
1809 1778 1813
1778 1770 1808
1819 1813 1808
1773 1769 1729
1672 1604 1671
1725 1672 1671
1724 1723 1672
1730 1723 1770
1526 1525 1426
1526 1603 1610
1425 1526 1426
1425 1519 1526
1670 1678 1610
1610 1678 1609
1672 1670 1605
1672 1723 1670
1730 1677 1678
1721 1669 1681
1682 1721 1735
1684 1683 1735
1527 1500 1429
1073 1074 1199
1196 1073 1197
930 1074 1073
1057 928 930
1181 1057 1071
1182 1072 1057
797 671 796
1809 1787 1773
1819 1809 1813
1820 1787 1809
1729 1730 1778
1773 1729 1778
1676 1679 1729
1679 1677 1730
1611 1679 1676
1662 1660 1679
1508 1593 1509
1504 1508 1409
1504 1589 1508
1508 1589 1593
1423 1504 1407
1524 1589 1504
1423 1524 1504
1525 1609 1524
1609 1660 1589
1592 1593 1662
1507 1592 1530
1509 1593 1592
1410 1509 1507
1411 1409 1508
1524 1423 1424
1609 1589 1524
1314 1193 1194
1409 1300 1407
1409 1301 1300
1426 1424 1316
1643 1706 1646
